Code,Department,Procedure,Trunk Description,Branch Description,Stem Description,Stem Child Description,Code Description (Leaf)
00100,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA SALIVARY GLANDS WITH BIOPSY
00102,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR
00103,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE
00104,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA ELECTROCONVULSIVE THERAPY
00120,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BX NOS
00124,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY
00126,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY
00140,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE NOT OTHERWISE SPECIFIED
00142,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE LENS SURGERY
00144,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE CORNEAL TRANSPLANT
00145,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE VITREORETINAL SURGERY
00147,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE IRIDECTOMY
00148,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA EYE OPHTHALMOSCOPY
00160,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA NOSE & ACCESSORY SINUSES NOS
00162,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY
00164,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE
00170,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA INTRAORAL WITH BIOPSY NOS
00172,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE
00174,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR
00176,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY
00190,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA FACIAL BONES OR SKULL NOS
00192,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM
00210,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA INTRACRANIAL PROCEDURE NOS
00211,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA
00212,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS
00214,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY
00215,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL
00216,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE
00218,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL PROCEDURE IN SITTING POSITION
00220,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING
00222,Anesthesia,Anesthesia for Procedures on the Head,,,,,ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE
00300,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANES INTEG MUSC & NRV HEAD NECK&POSTERIOR TRUNK
00320,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANES ESOPH THYRD LARYNX TRACH & LYMPH NECK 1YR
00322,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANES ESOPH THYRD LARX TRACH & LYMPH NCK BX THYRD
00326,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANESTHESIA LARYNX & TRACHEA CHILDREN <1 YEAR
00350,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANESTHESIA MAJOR VESSELS NECK NOS
00352,Anesthesia,Anesthesia for Procedures on the Neck,,,,,ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION
00400,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANES INTEG EXTREMITIES ANT TRUNK & PERINEUM NOS
00402,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA RECONSTRUCTION BREAST
00404,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA RADICAL/MODIFIED RADICAL BREAST
00406,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANES RADICAL/MODIFIED RADICAL BREAST W/NODES
00410,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANES INTEG SYS ELEC CONVERSION ARRHYTHMIAS
00450,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA CLAVICLE AND SCAPULA NOS
00452,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA CLAVICLE & SCAPULA RADICAL SURGERY
00454,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA CLAVICLE & SCAPULA BIOPSY CLAVICLE
00470,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA PARTIAL RIB RESECTION NOS
00472,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA PARTIAL RIB RESECTION THORACOPLASTY
00474,Anesthesia,Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle),,,,,ANESTHESIA PARTIAL RIB RESECTION RADICAL
00500,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA ESOPHAGUS
00520,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA CLOSED CHEST W/BRONCHOSCOPY NOS
00522,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA CLOSED CHEST NEEDLE BIOPSY PLEURA
00524,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA CLOSED CHEST PNEUMOCENTESIS
00528,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ
00529,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNT
00530,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION
00532,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA ACCESS CENTRAL VENOUS CIRCULATION
00534,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB
00537,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION
00539,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA TRACHEOBRONCHIAL RECONSTRUCTION
00540,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES THORACOTOMY & THORACOSCOPY NOS
00541,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ
00542,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES THORACOTOMY & THORACOSCOPY DECORTICATION
00544,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES-THORACOT LUNGS PLEU DIAPH MEDIAST;PLEURECT
00546,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES THORACOTOMY & THORACOSCOPY PULMONARY RESC
00548,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES THORACOTOMY &THORACSCOPY TRACHEA & BRONCHI
00550,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANESTHESIA FOR STERNAL DEBRIDEMENT
00560,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES HRT PERICARDIAL SAC& GRT VESLS W/O PMP OXT
00561,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES HRT PERICARD SAC&GREAT VSLS W/PMP OXTJ <1YR
00562,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES HRT PERICRD SAC&GRT VSLS W/PMP OXTJ >1MO PO
00563,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES HRT PRCRD SAC & GREAT VSL W/PUMP OXTJ HYPTH
00566,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES DIRECT CABG W/O PUMP OXYGENATOR
00567,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES DIRECT CABG W/PUMP OXYGENATOR
00580,Anesthesia,Anesthesia for Intrathoracic Procedures,,,,,ANES HEART TRANSPLANT/HEART/LUNG TRANSPLANT
00600,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA CERVICAL SPINE & CORD NOS
