code  ,db_code_desc                                                        ,clean_name                                                      ,CLEAN NAME EDITED                         ,
21601 ,EXCISION CHEST WALL TUMOR INCLUDING RIBS                            ,General thoracic procedure                                      ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
21602 ,EXCISION CHEST WALL TUM W/RIB W/O MEDSTNL LYMPHADEC                 ,General thoracic procedure                                      ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
21603 ,EXCISION CHEST WALL TUM W/RIB W/MEDSTNL LYMPHADEC                   ,General thoracic procedure                                      ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
21615 ,EXCISION 1ST &/CERVICAL RIB                                         ,                                                                ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
21627 ,STERNAL DEBRIDEMENT                                                 ,                                                                ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
21740 ,REPAIR PECTUS EXCAVATUM/CARINATUM OPEN                              ,                                                                ,PECTUS EXCAVATUM                          ,
21742 ,"RECONST PECTUS EXCAV/CARIN,OPEN"                                   ,General thoracic procedure                                      ,PECTUS EXCAVATUM                          ,
21743 ,REPAIR PECTUS EXCAVATM/CARINATM MINLY W/THRSC                       ,                                                                ,PECTUS EXCAVATUM                          ,
21750 ,CLOSE MEDIAN STERNOTOMY SEP W/WO DEBRIDEMENT SPX                    ,                                                                ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
32035 ,"THORACOSTOMY,RIB RESECT,EMPYEMA"                                   ,Thoracic/Lung procedure                                         ,THORACOSTOMY                              ,
32036 ,THORACOSTOMY OPEN FLAP DRAINAGE EMPYEMA                             ,                                                                ,THORACOSTOMY                              ,
32096 ,THORACTOMY W/DX BX LUNG INFILTRATE UNILATERAL                       ,Thoracotomy                                                     ,THORACOTOMY/LUNG PROCEDURE                ,
32097 ,THORACTOMY W/DX BX LUNG NODULE/MASS UNILATERAL                      ,Thoracotomy                                                     ,THORACOTOMY/LUNG PROCEDURE                ,
32098 ,THORACOTOMY W/BIOPSY OF PLEURA                                      ,Thoracotomy                                                     ,THORACOTOMY/PLEURAL PROCEDURE             ,
32100 ,THORACOTOMY WITH EXPLORATION                                        ,Thoracotomy                                                     ,THORACOTOMY                               ,
32110 ,THORCOM CTRL TRAUMTC HEMRRG&/RPR LNG TEAR                           ,Thoracotomy                                                     ,THORACOTOMY/LUNG PROCEDURE                ,
32120 ,THORACOTOMY POSTOPERATIVE COMPLICATIONS                             ,Thoracotomy                                                     ,THORACOTOMY                               ,
32124 ,THORACOTOMY OPN INTRAPLEURAL PNEUMONOLYSIS                          ,Thoracotomy                                                     ,THORACOTOMY/LUNG PROCEDURE                ,
32140 ,"THORACOTOMY,CYST REMOVAL "                                         ,Thoracic/Lung procedure                                         ,THORACOTOMY/LUNG PROCEDURE                ,
32141 ,THORACOTOMY W/RESECTION BULLAE                                      ,Thoracotomy                                                     ,THORACOTOMY/LUNG PROCEDURE                ,
32150 ,THORCOM W/RMVL INTRAPLEURAL FB/FIBRIN DEP                           ,Thoracotomy                                                     ,THORACOTOMY/PLEURAL PROCEDURE             ,
32151 ,"THORACOTOMY,REMV PULM FOREIGN BODY"                                ,Thoracic/Lung procedure                                         ,THORACOTOMY/LUNG PROCEDURE                ,
32160 ,THORACOTOMY W/CARDIAC MASSAGE                                       ,Thoracotomy                                                     ,THORACOTOMY                               ,
32200 ,PNEUMONOSTOMY W/OPEN DRAINAGE ABSCESS/CYST                          ,                                                                ,THORACOTOMY/LUNG PROCEDURE                ,
32215 ,PLEURAL SCARIFICATN FOR MULT PTX                                    ,Thoracic/Lung procedure                                         ,THORACOTOMY/PLEURAL PROCEDURE             ,
32220 ,DECORTICATION PULMONARY TOTAL SEPARATE PROCEDURE                    ,Decortication                                                   ,DECORTICATION                             ,
32225 ,DECORTICATION PULMONARY PARTIAL SEPARATE PROC                       ,Decortication                                                   ,DECORTICATION                             ,
32310 ,REMOVAL PARIETAL PLEURA                                             ,Thoracic/Lung procedure                                         ,THORACOTOMY/PLEURAL PROCEDURE             ,
32320 ,DECORTICATION & PARIETAL PLEURECTOMY                                ,Decortication                                                   ,DECORTICATION                             ,
32440 ,REMOVAL OF LUNG PNEUMONECTOMY                                       ,Pneumonectomy                                                   ,PNEUMONECTOMY                             ,
32442 ,"REMV LUNG,RESEC PART TRACHEA"                                      ,Thoracic/Lung procedure                                         ,PNEUMONECTOMY                             ,
32445 ,REMOVAL LUNG PNEUMONECTOMY EXTRAPLEURAL                             ,Pneumonectomy                                                   ,PNEUMONECTOMY                             ,
32480 ,RMVL LUNG OTHER THAN PNEUMONECTOMY 1 LOBE LOBECT                    ,Partial Lung Removal                                            ,PARTIAL LUNG REMOVAL                      ,
32482 ,RMVL LUNG OTHER THAN PNEUMONECT 2 LOBES BILOBEC                     ,Partial Lung Removal                                            ,PARTIAL LUNG REMOVAL                      ,
32484 ,RMVL LUNG OTHER THAN PNEUMONECT 1 SEGMENTECTOMY                     ,Partial Lung Removal                                            ,PARTIAL LUNG REMOVAL                      ,
32486 ,RMVL LUNG XCP TOT PNEUMONECTOMY SLEEVE LOBECTOMY                    ,Partial Lung Removal                                            ,PARTIAL LUNG REMOVAL                      ,
32488 ,RMVL LUNG OTHER/THAN PNUMEC COMPLETION PNUMEC                       ,Partial Lung Removal                                            ,PARTIAL LUNG REMOVAL                      ,
32491 ,REMV EMPHYSEMATOUS LUNG W VOLUM REDN                                ,Thoracic/Lung procedure                                         ,THORACOTOMY/LUNG PROCEDURE                ,
32501 ,RESCJ&BRONCHOPLASTY PFRMD TM LOBEC/SGMECTOMY                        ,                                                                ,PARTIAL LUNG REMOVAL                      ,
32503 ,RESECT APICAL LUNG TUMOR                                            ,Thoracic/Lung procedure                                         ,THORACOTOMY/LUNG PROCEDURE                ,
32504 ,RESECT APICAL LUNG TUM/ CHEST WALL RECONST                          ,Thoracic/Lung procedure                                         ,THORACOTOMY/LUNG PROCEDURE                ,
32505 ,THORACOTOMY W/THERAPEUTIC WEDGE RESEXN INITIAL                      ,Thoracotomy                                                     ,WEDGE RESECTION                           ,
32507 ,THORACOTOMY W/DX WEDGE RESEXN & ANTOM LUNG RESE                     ,Thoracotomy                                                     ,WEDGE RESECTION                           ,
32540 ,EXTRAPLEURAL ENUCLEATION EMPYEMA EMPYEMECTOMY                       ,                                                                ,THORACOTOMY                               ,
32601 ,THORSC DX LUNGS/PERICAR/MED/PLEURAL SPACE W/O BX                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)                        ,
32604 ,THORACOSCOPY DX PERICARDIAL SAC W/BIOPSY SPX                        ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PERICARDIAL PROCEDURE  ,
32606 ,THORACOSCOPY DX MEDIASTINAL SPACE W/BIOPSY SPX                      ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/MEDIASTINAL PROCEDURE  ,
32607 ,THORACOSCOPY W/DX BX OF LUNG INFILTRATE UNILATRL                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/LUNG PROCEDURE         ,
32608 ,THORACOSCOPY W/DX BX OF LUNG NODULES UNILATRL                       ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/LUNG PROCEDURE         ,
32609 ,THORACOSCOPY WITH BIOPSYIES OF PLEURA                               ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PLEURAL PROCEDURE      ,
32650 ,THORACOSCOPY W/PLEURODESIS                                          ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PLEURAL PROCEDURE      ,
32651 ,THORACOSCOPY W/PARTIAL PULMONARY DECORTICATION                      ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/DECORTICATION          ,
32652 ,THRSC TOT PULM DCRTCTJ INTRAPLEURAL PNEUMONOLSS                     ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/DECORTICATION          ,
32653 ,THORACOSCOPY RMVL INTRAPLEURAL FB/FIBRIN DEPOSIT                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PLEURAL PROCEDURE      ,
32654 ,THORACOSCOPY CONTROL TRAUMATIC HEMORRHAGE                           ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)                        ,
32655 ,THORACOSCOPY W/RESECTION BULLAE W/WO PLEURAL PX                     ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/LUNG PROCEDURE         ,
32656 ,THORACOSCOPY W/PARIETAL PLEURECTOMY                                 ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PLEURAL PROCEDURE      ,
32658 ,THORACOSCOPY SURG EXC FB/CLOT PERICA                                ,Thoracic/Lung procedure                                         ,THORACOSCOPY(VATS)/PERICARDIAL PROCEDURE  ,
32659 ,THRSC CRTJ PRCRD WINDOW/PRTL RESCJ PRCRD SAC                        ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PERICARDIAL PROCEDURE  ,
32661 ,THORACOSCOPY W/EXC PERICARDIAL CYST TUMOR/MASS                      ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PERICARDIAL PROCEDURE  ,
32662 ,THORACOSCOPY W/EXC MEDIASTINAL CYST TUMOR/MASS                      ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/MEDIASTINAL PROCEDURE  ,
