code,clean_name
33405,Aortic valve replacement
33411,Aortic valve replacement
33361,TAVR (perc fem artery approach)
33430,Mitral/Tricuspid valve replacement
33465,Mitral/Tricuspid valve replacement
33425,Mitral/Tricuspid valve repair
33426,Mitral/Tricuspid valve repair
33427,Mitral/Tricuspid valve repair
33463,Mitral/Tricuspid valve repair
33464,Mitral/Tricuspid valve repair
33418,TMVR (mitraclip)
33419,TMVR (mitraclip)
33533,CABG
33534,CABG
33535,CABG
33536,CABG
33510,CABG
33511,CABG
33512,CABG
33513,CABG
33514,CABG
33516,CABG
33517,CABG
33518,CABG
33519,CABG
33521,CABG
33522,CABG
33523,CABG
33858,Ascending Aorta graft disection
33859,Ascending Aorta graft aneurysm/etc.
33863,Ascending Aorta graft with aortic root replacement (Bentall)
33864,Ascending Aorta graft with valve-sparing aortic root remodeling
33871,Aortic Arch graft
33875,Descending Thoracic Aorta graft
33975,LVAD Insertion
33976,LVAD Insertion
33979,LVAD Insertion
33990,LVAD Insertion
33991,LVAD Insertion
33977,LVAD Removal
33978,LVAD Removal
33980,LVAD Removal
33992,LVAD Removal
33981,LVAD Replacement of Pump(s)
33982,LVAD Replacement of Pump(s)
33983,LVAD Replacement of Pump(s)
33944,Preparation of donor heart
33945,Heart transplant

33362,
33363,
33364,
33365,
33366,
33390,
33391,
33406,
33410,
33415

0345T,
0483T,
0484T,
0543T,
0544T

0545T,
0569T,
0570T

33860,
33870

33880,
33881

32035,
32036,
32096,
32097,
32098,
32100,
32110,
32120,
32124,
32140,
32141,
32150,
32151,
32160,
32200,
32215,
32220,
32225,
32310,
32320,
32440,
32442,
32445,
32480,
32482,
32484,
32486,
32488,
32491,
32501,
32503,
32504,
32505,
32507,
32540,
32601,
32604,
32606,
32607,
32608,
32609,
32650,
32651,
32652,
32653,
32654,
32655,
32656,
32658,
32659,
32661,
32662,
32663,
32664,
32665,
32666,
32667,
32668,
32669,
32670,
32671,
32672,
32673,
32674,
32800,
32810,
32815,
32820,
32851,
32852,
32853,
32854,
32855,
32856,
32900,
32905,
32906,
38746,
39010,
39200,
39220,
39401,
39402,
39501,
39540,
39541,
39545,
39560,
39561

33020,
33025,
33030,
33031,
33050,
33120,
33130,
33140,
33141,
33202,
33203,
33236,
33237,
33238,
33243,
33250,
33251,
33254,
33255,
33256,
33257,
33258,
33259,
33261,
33265,
33266,
33300,
33305,
33310,
33315,
33320,
33321,
33322,
33330,
33335,
33404,
33414,
33416,
33417,
33422,
33460,
33474,
33475,
33476,
33478,
33496,
33500,
33501,
33502,
33503,
33504,
33505,
33506,
33507,
33508,
33530,
33542,
33545,
33548,
33572,
33641,
33645,
33647,
33675,
33681,
33702,
33710,
33720,
33722,
33724,
33800,
33802,
33803,
33877,
33910,
33915,
33916,
33917,
33973,
33974

33952,
33954,
33956,
33958,
33962,
33964,
33966,
33984,
33986,
33987,
33988,
33989

43117,
43237,
43235,
43246,
43247,
43248,
43266

21601,
21602,
21603,
21615,
21627,
21740,
21742,
21743,
21750,
60521,
60522,
64804,
64809

